label,uri,page_id,node_id,resource_pk,resource_id,preferred_canonical_for_page,gbif_id,gbif_rel_method,gbif_uri,gbif_can_name,gbif_vern_name
Stylommatophora,http://eol.org/pages/2626,2626,61533670.0,Stylommatophora,767.0,Stylommatophora,,,,,
Stylommatophora,http://eol.org/pages/2626,2626,61533671.0,1456,767.0,Stylommatophora,1456.0,EOL-GBIF-names,https://www.gbif.org/species/1456,Stylommatophora,slug
Cypriniformes,http://eol.org/pages/3194,3194,61294728.0,Cypriniformes,767.0,Cypriniformes,,,,,
Cypriniformes,http://eol.org/pages/3194,3194,61380482.0,1153,767.0,Cypriniformes,1153.0,EOL-GBIF-names,https://www.gbif.org/species/1153,Cypriniformes,carp-like fish
Catostomidae,http://eol.org/pages/3196,3196,62442608.0,3384,767.0,Catostomidae,3384.0,EOL-GBIF-names,https://www.gbif.org/species/3384,Catostomidae,suckers
Catostomidae,http://eol.org/pages/3196,3196,62102433.0,Catostomidae,767.0,Catostomidae,,,,,
Cyprinidae,http://eol.org/pages/3198,3198,63569507.0,7336,767.0,Cyprinidae,7336.0,EOL-GBIF-names,https://www.gbif.org/species/7336,Cyprinidae,carps
Cyprinidae,http://eol.org/pages/3198,3198,61294729.0,Cyprinidae,767.0,Cyprinidae,,,,,
Liliopsida,http://eol.org/pages/4074,4074,,,,,196.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/196,Liliopsida,
Poales,http://eol.org/pages/4075,4075,61478513.0,Poales,767.0,Poales,,,,,
Poales,http://eol.org/pages/4075,4075,61478514.0,1369,767.0,Poales,1369.0,EOL-GBIF-names,https://www.gbif.org/species/1369,Poales,
Juncaceae,http://eol.org/pages/4076,4076,63174151.0,5353,767.0,Juncaceae,5353.0,EOL-GBIF-names,https://www.gbif.org/species/5353,Juncaceae,Rush Family
Juncaceae,http://eol.org/pages/4076,4076,62237417.0,Juncaceae,767.0,Juncaceae,,,,,
Tracheophyta,http://eol.org/pages/4077,4077,61323484.0,Tracheophyta,767.0,Tracheophyta,,,,,
Tracheophyta,http://eol.org/pages/4077,4077,63693117.0,7707728,767.0,Tracheophyta,7707728.0,EOL-GBIF-names,https://www.gbif.org/species/7707728,Tracheophyta,tracheophytes
Liliaceae,http://eol.org/pages/4174,4174,63690317.0,7699,767.0,Liliaceae,7699.0,EOL-GBIF-names,https://www.gbif.org/species/7699,Liliaceae,lily family
Liliaceae,http://eol.org/pages/4174,4174,61323487.0,Liliaceae,767.0,Liliaceae,,,,,
Apiaceae,http://eol.org/pages/4200,4200,63462891.0,6720,767.0,Apiaceae,6720.0,EOL-GBIF-names,https://www.gbif.org/species/6720,Apiaceae,carrot family
Apiaceae,http://eol.org/pages/4200,4200,62216031.0,Apiaceae,767.0,Apiaceae,,,,,
Rubiaceae,http://eol.org/pages/4202,4202,64073246.0,8798,767.0,Rubiaceae,8798.0,EOL-GBIF-names,https://www.gbif.org/species/8798,Rubiaceae,madders
Rubiaceae,http://eol.org/pages/4202,4202,62211373.0,Rubiaceae,767.0,Rubiaceae,,,,,
Asteraceae,http://eol.org/pages/4206,4206,61343087.0,Asteraceae,767.0,Asteraceae,,,,,
Asteraceae,http://eol.org/pages/4206,4206,62334158.0,3065,767.0,Asteraceae,3065.0,EOL-GBIF-names,https://www.gbif.org/species/3065,Asteraceae,sunflowers
Brassicaceae,http://eol.org/pages/4219,4219,62348303.0,3112,767.0,Brassicaceae,3112.0,EOL-GBIF-names,https://www.gbif.org/species/3112,Brassicaceae,crucifers
Brassicaceae,http://eol.org/pages/4219,4219,62238110.0,Brassicaceae,767.0,Brassicaceae,,,,,
Nepenthales,http://eol.org/pages/4223,4223,62607387.0,422,767.0,Caryophyllales,422.0,EOL-GBIF-names,https://www.gbif.org/species/422,Caryophyllales,
Nepenthales,http://eol.org/pages/4223,4223,62110063.0,Caryophyllales,767.0,Caryophyllales,,,,,
Caryophyllaceae,http://eol.org/pages/4229,4229,62169403.0,Caryophyllaceae,767.0,Caryophyllaceae,,,,,
Caryophyllaceae,http://eol.org/pages/4229,4229,62169404.0,2518,767.0,Caryophyllaceae,2518.0,EOL-GBIF-names,https://www.gbif.org/species/2518,Caryophyllaceae,pinks
Chenopodiaceae,http://eol.org/pages/4230,4230,,,,,6719.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/6719,Chenopodiaceae,goosefoot
Molluginaceae,http://eol.org/pages/4231,4231,62168840.0,2517,767.0,Molluginaceae,2517.0,EOL-GBIF-names,https://www.gbif.org/species/2517,Molluginaceae,carpet-weeds
Molluginaceae,http://eol.org/pages/4231,4231,62168839.0,Molluginaceae,767.0,Molluginaceae,,,,,
Portulacaceae,http://eol.org/pages/4234,4234,63460524.0,6717,767.0,Portulacaceae,6717.0,EOL-GBIF-names,https://www.gbif.org/species/6717,Portulacaceae,purslane
Portulacaceae,http://eol.org/pages/4234,4234,62339410.0,Portulacaceae,767.0,Portulacaceae,,,,,
Dipsacales,http://eol.org/pages/4256,4256,61654283.0,Dipsacales,767.0,Dipsacales,,,,,
Dipsacales,http://eol.org/pages/4256,4256,64405112.0,946,767.0,Dipsacales,946.0,EOL-GBIF-names,https://www.gbif.org/species/946,Dipsacales,
Valerianaceae,http://eol.org/pages/4260,4260,,,,,2508.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/2508,Valerianaceae,valerians
Polygalales,http://eol.org/pages/4276,4276,61478858.0,Fabales,767.0,Fabales,,,,,
Polygalales,http://eol.org/pages/4276,4276,61478859.0,1370,767.0,Fabales,1370.0,EOL-GBIF-names,https://www.gbif.org/species/1370,Fabales,
Fabaceae (beans),http://eol.org/pages/4277,4277,63183254.0,5386,767.0,Fabaceae,5386.0,EOL-GBIF-names,https://www.gbif.org/species/5386,Fabaceae,legumes
Fabaceae (beans),http://eol.org/pages/4277,4277,62212347.0,Fabaceae,767.0,Fabaceae,,,,,
Rubiales,http://eol.org/pages/4279,4279,,,,,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62157510.0,2498,767.0,Boraginaceae,2498.0,EOL-GBIF-names,https://www.gbif.org/species/2498,Boraginaceae,borage
Boraginaceae,http://eol.org/pages/4301,4301,62157509.0,Boraginaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,63716592.0,Codonaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,64390925.0,9425715,767.0,Boraginaceae,9425715.0,EOL-GBIF-names,https://www.gbif.org/species/9425715,Codonaceae,
Boraginaceae,http://eol.org/pages/4301,4301,62982855.0,4923856,767.0,Boraginaceae,4923856.0,EOL-GBIF-names,https://www.gbif.org/species/4923856,Ehretiaceae,
Boraginaceae,http://eol.org/pages/4301,4301,62983400.0,4930387,767.0,Boraginaceae,4930387.0,EOL-GBIF-names,https://www.gbif.org/species/4930387,Heliotropiaceae,
Boraginaceae,http://eol.org/pages/4301,4301,62299985.0,Heliotropiaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62572181.0,Wellstediaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62113004.0,2387,767.0,Boraginaceae,2387.0,EOL-GBIF-names,https://www.gbif.org/species/2387,Hydrophyllaceae,waterleaf
Boraginaceae,http://eol.org/pages/4301,4301,62113003.0,Hydrophyllaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62291444.0,Ehretiaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62983401.0,4930388,767.0,Boraginaceae,4930388.0,EOL-GBIF-names,https://www.gbif.org/species/4930388,Wellstediaceae,
Lamiaceae,http://eol.org/pages/4302,4302,62157280.0,2497,767.0,Lamiaceae,2497.0,EOL-GBIF-names,https://www.gbif.org/species/2497,Lamiaceae,mints
Lamiaceae,http://eol.org/pages/4302,4302,62157279.0,Lamiaceae,767.0,Lamiaceae,,,,,
Sapindales,http://eol.org/pages/4311,4311,62115992.0,Sapindales,767.0,Sapindales,,,,,
Sapindales,http://eol.org/pages/4311,4311,64350375.0,933,767.0,Sapindales,933.0,EOL-GBIF-names,https://www.gbif.org/species/933,Sapindales,
Linaceae,http://eol.org/pages/4315,4315,62155404.0,2493,767.0,Linaceae,2493.0,EOL-GBIF-names,https://www.gbif.org/species/2493,Linaceae,flax
Linaceae,http://eol.org/pages/4315,4315,62155403.0,Linaceae,767.0,Linaceae,,,,,
Malvaceae,http://eol.org/pages/4321,4321,63459500.0,6685,767.0,Malvaceae,6685.0,EOL-GBIF-names,https://www.gbif.org/species/6685,Malvaceae,mallows
Malvaceae,http://eol.org/pages/4321,4321,62242574.0,Malvaceae,767.0,Malvaceae,,,,,
Malvaceae,http://eol.org/pages/4323,4323,,,,,6685.0,EOL-OC-label-GBIF-exact-search,https://www.gbif.org/species/6685,Malvaceae,mallows
